,dim,algo,param,jsd,iteration
0,4,hope,katz,0.1560064,0
1,8,hope,katz,0.1559932,0
2,16,hope,katz,0.1560043,0
3,32,hope,katz,0.1560283,0
5,64,hope,katz,0.1614174,0
6,128,hope,katz,0.1614214,0
7,4,n2v,1 1,0.1558686,0
8,8,n2v,1 1,0.1386654,0
9,16,n2v,1 1,0.1209075,0
10,64,n2v,1 1,0.08476876,0
11,128,n2v,1 1,0.09015825,0
