,dim,algo,param,jsd,iteration
159,128,n2v,1 1,0.008601266,3
160,128,n2v,1 1,0.008601266,4
161,128,n2v,1 1,0.008601266,5
162,128,n2v,1 1,0.008601266,6
163,128,n2v,1 1,0.008601266,7
164,128,n2v,1 1,0.008601266,8
165,128,n2v,1 1,0.008601266,9
166,128,n2v,1 1,0.008601266,10
167,128,n2v,1 1,0.008601266,11
168,128,n2v,1 1,0.008601266,12
169,128,n2v,1 1,0.008601266,13
170,128,n2v,1 1,0.008601266,14
171,128,n2v,1 1,0.008601266,15
172,128,n2v,1 1,0.008601266,16
173,128,n2v,1 1,0.008601266,17
174,128,n2v,1 1,0.008601266,18
175,128,n2v,1 1,0.008601266,19
176,128,n2v,1 1,0.008601266,20
177,128,n2v,1 1,0.008601266,21
178,128,n2v,1 1,0.008601266,22
179,128,n2v,1 1,0.008601266,23
180,128,n2v,1 1,0.008601266,24
181,128,n2v,1 1,0.008601266,25
182,128,n2v,1 1,0.008601266,26
183,128,n2v,1 1,0.008601266,27
184,128,n2v,1 1,0.008601266,28
185,128,n2v,1 1,0.008601266,29
